name,points,time
Graham Siggins,58.0,59:46
Graham Siggins,56.0,60:00
Graham Siggins,54.0,59:05
Graham Siggins,49.0,58:31
Graham Siggins,48.0,56:32
Graham Siggins,46.0,57:31
Yucheng Chen (陈裕铖),45.0,58:05
Mark Boyanowski,44.0,54:18
Shivam Bansal,43.0,58:26
Graham Siggins,42.0,54:52
Marcin Kowalczyk,41.0,54:14
Graham Siggins,40.0,58:25
Yucheng Chen (陈裕铖),39.0,58:07
Stanley Chapel,38.0,55:15
Yucheng Chen (陈裕铖),37.0,58:11
Stanley Chapel,36.0,54:20
Marcin Kowalczyk,35.0,55:00
Graham Siggins,34.0,56:50
Yucheng Chen (陈裕铖),33.0,55:42
Marcin Kowalczyk,32.0,54:18
Marcin Kowalczyk,31.0,55:19
Kaijun Lin (林恺俊),30.0,54:11
Marcin Kowalczyk,29.0,52:09
Kaijun Lin (林恺俊),28.0,47:24
Witali Bułatow,27.0,56:50
Preeda Hongpimolmas (ปรีดา หงส์พิมลมาศ),26.0,48:35
Kamil Przybylski,25.0,50:47
Marcin Kowalczyk,24.0,33:58
Mark Boyanowski,23.0,33:11
Grigorii Alekseev,22.0,51:08
Kaijun Lin (林恺俊),21.0,43:53
Stanley Chapel,20.0,40:34
Marcin Kowalczyk,19.0,33:54
Tiago Zamberlan,18.0,49:48
Timothy Goh,17.0,39:48
Marcin Kowalczyk,16.0,38:55
Jefferson Andres Durango Argaez,15.0,36:40
Ádám Barta,14.0,37:07
Jeff Park,13.0,38:53
Marcin Kowalczyk,12.0,22:41
Stanley Chapel,11.0,23:58
Jan Bentlage,10.0,30:41
Neel Gore,9.0,13:20
Marcin Kowalczyk,8.0,9:32
Jeff Park,7.0,11:25
Guido Dipietro,6.0,10:18
Shivam Bansal,5.0,5:05
Shivam Bansal,4.0,5:51
Shivam Bansal,3.0,2:56
Kaijun Lin (林恺俊),2.0,0:47
Marcus Moberg,1.0,2:40
